SUCCESS:  Actions Class Initialised
SUCCESS:  OSCServer Class Initialised
INFO:        CPU: 0.32299999999999995 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.536 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.45399999999999996 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.271 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.271 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.305 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.354 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.366 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.426 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.386 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.451 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.653 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.39799999999999996 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.45 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.375 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.319 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.27699999999999997 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.304 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.526 | RAM: 0.836 | GPU: 0.98
INFO:        CPU: 0.5770000000000001 | RAM: 0.836 | GPU: 0.98
INFO:        CPU: 0.289 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.33 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.423 | RAM: 0.8340000000000001 | GPU: 0.98
INFO:        CPU: 0.366 | RAM: 0.8340000000000001 | GPU: 0.98
INFO:        CPU: 0.43799999999999994 | RAM: 0.836 | GPU: 0.98
INFO:        CPU: 0.5 | RAM: 0.8340000000000001 | GPU: 0.98
INFO:        CPU: 0.396 | RAM: 0.8340000000000001 | GPU: 0.98
INFO:        CPU: 0.478 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.278 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.835 | GPU: 0.98
INFO:        CPU: 0.41700000000000004 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.361 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.312 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.604 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.365 | RAM: 0.836 | GPU: 0.98
INFO:        CPU: 0.495 | RAM: 0.836 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.344 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.316 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.5660000000000001 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.616 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.32 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.32 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.258 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.32299999999999995 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.344 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.39799999999999996 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.155 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.258 | RAM: 0.8370000000000001 | GPU: 0.98
INFO:        CPU: 0.495 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.455 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.281 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.838 | GPU: 0.98
